"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.521088793E1,6.506055000E1,2.547531333E1,-5.988418945E1,-4.240000000E1,1.798439503E0,2.743800049E2,3.562398803E-1,1.799999952E0,2.060000038E1,3.200000000E1
5.622997693E1,6.506055667E1,2.547529333E1,-5.978419418E1,-4.230000000E1,1.910134196E0,2.772600098E2,3.576735843E-1,1.899999976E0,2.039999962E1,3.200000000E1
5.720186146E1,6.506056500E1,2.547527000E1,-5.978419991E1,-4.230000000E1,2.014622688E0,2.770199890E2,3.590527723E-1,1.899999976E0,2.100000000E1,3.200000000E1
5.821790823E1,6.506056833E1,2.547524167E1,-5.978420432E1,-4.230000000E1,2.059403658E0,2.688699951E2,3.604319600E-1,1.899999976E0,2.179999924E1,3.200000000E1
5.921831900E1,6.506057167E1,2.547521333E1,-5.978420874E1,-4.230000000E1,2.041388273E0,2.804299927E2,3.618069621E-1,1.899999976E0,2.220000076E1,3.200000000E1
6.021011685E1,6.506058000E1,2.547519167E1,-5.888421428E1,-4.140000000E1,1.953885555E0,2.950000000E2,3.626435762E-1,1.899999976E0,2.270000076E1,3.200000000E1
6.119985477E1,6.506058500E1,2.547517833E1,-5.778421765E1,-4.030000000E1,1.812336922E0,3.012200012E2,3.635207071E-1,1.899999976E0,2.370000076E1,3.200000000E1
6.222602247E1,6.506059167E1,2.547516833E1,-5.668422126E1,-3.920000000E1,1.649170041E0,3.041900024E2,3.642002437E-1,1.899999976E0,2.379999924E1,3.200000000E1
6.321604154E1,6.506059667E1,2.547516000E1,-5.568422407E1,-3.820000000E1,1.079887271E0,3.087699890E2,3.651215160E-1,1.799999952E0,1.239999962E1,3.500000000E1
6.421416862E1,6.506060333E1,2.547514833E1,-5.448422787E1,-3.700000000E1,1.542107821E0,3.126900024E2,3.661452308E-1,1.799999952E0,7.199999809E0,3.500000000E1
6.522308000E1,6.506060833E1,2.547513000E1,-5.318423179E1,-3.570000000E1,1.490120888E0,2.988999939E2,3.673003287E-1,1.799999952E0,4.900000095E0,3.500000000E1
6.622294054E1,6.506061167E1,2.547510667E1,-5.178423565E1,-3.430000000E1,1.410338879E0,2.803599854E2,3.685642921E-1,1.799999952E0,4.000000000E0,3.500000000E1
6.723334116E1,6.506061000E1,2.547508000E1,-5.058423800E1,-3.310000000E1,1.345483899E0,2.843999939E2,3.694436266E-1,1.799999952E0,3.900000095E0,3.500000000E1
6.822910616E1,6.506060833E1,2.547506167E1,-4.928423942E1,-3.180000000E1,1.247686625E0,2.765400085E2,3.709649080E-1,1.799999952E0,3.900000095E0,3.400000000E1
6.923031131E1,6.506060167E1,2.547503333E1,-4.808424008E1,-3.060000000E1,1.235333323E0,2.742500000E2,3.728462471E-1,1.700000048E0,3.799999952E0,3.400000000E1
7.020596454E1,6.506059667E1,2.547499500E1,-4.658424249E1,-2.910000000E1,1.304306149E0,2.833999939E2,3.746530884E-1,1.700000048E0,3.799999952E0,3.400000000E1
7.122304116E1,6.506059833E1,2.547495667E1,-4.378424739E1,-2.630000000E1,1.410853624E0,2.958599854E2,3.765972732E-1,1.600000024E0,3.799999952E0,3.400000000E1
7.223159070E1,6.506060500E1,2.547491833E1,-4.128425417E1,-2.380000000E1,1.576079488E0,3.064899902E2,3.785795419E-1,1.500000000E0,3.799999952E0,3.400000000E1
7.323374985E1,6.506061500E1,2.547488333E1,-4.018426183E1,-2.270000000E1,1.703215837E0,3.044200134E2,3.801952114E-1,1.500000000E0,3.799999952E0,3.400000000E1
7.422591231E1,6.506062500E1,2.547485833E1,-3.888426838E1,-2.140000000E1,1.745937824E0,3.079899902E2,3.812892262E-1,1.600000024E0,3.799999952E0,3.400000000E1
7.522472762E1,6.506062500E1,2.547483500E1,-3.768427099E1,-2.020000000E1,1.723289967E0,2.930100098E2,3.821685602E-1,1.500000000E0,3.799999952E0,3.400000000E1
7.621815662E1,6.506062333E1,2.547481667E1,-3.668427241E1,-1.920000000E1,1.655861378E0,2.803500061E2,3.826010034E-1,1.500000000E0,3.900000095E0,3.400000000E1
