"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.926569860E-1,2.360965967E0,1.455952048E0,2.202284098E0,3.541752661E0
5.975969860E-1,2.151686907E0,1.217363000E0,1.960994959E0,3.155507954E0
6.025370100E-1,1.955595016E0,9.797750115E-1,1.801344037E0,2.833575706E0
6.074767790E-1,1.689476967E0,7.837740183E-1,1.709494948E0,2.528044128E0
6.124167020E-1,1.502845049E0,7.124069929E-1,1.726062059E0,2.396947475E0
6.173566970E-1,1.327872038E0,6.298450232E-1,1.742053032E0,2.279187941E0
6.222966970E-1,1.220039010E0,5.918480158E-1,1.825515985E0,2.274046586E0
6.272366870E-1,1.043972015E0,5.297350287E-1,2.031131983E0,2.344353621E0
6.321764570E-1,9.778860211E-1,3.757190108E-1,2.195563078E0,2.432678169E0
6.371163800E-1,9.406160116E-1,2.382750064E-1,2.359813929E0,2.551520182E0
6.420563950E-1,7.969769835E-1,8.127000183E-3,2.578552008E0,2.698919935E0
6.469963950E-1,6.836869717E-1,-3.296889961E-1,2.743099928E0,2.846176369E0
6.519363950E-1,5.873950124E-1,-5.583840013E-1,2.880913019E0,2.992738782E0
6.568761550E-1,6.441709995E-1,-7.609720230E-1,2.924083948E0,3.089385316E0
6.618160780E-1,8.128479719E-1,-8.425170183E-1,2.927120924E0,3.152553513E0
6.667560780E-1,9.707229733E-1,-8.447690010E-1,2.849303961E0,3.126415010E0
6.716960780E-1,1.009454966E0,-8.358619809E-1,2.731617928E0,3.029752644E0
6.766360780E-1,1.093664050E0,-8.159629703E-1,2.329142094E0,2.699407253E0
6.815758610E-1,1.318439007E0,-4.847530127E-1,2.023129940E0,2.462990388E0
6.865157840E-1,1.493670940E0,-3.598760068E-1,1.486843944E0,2.138052509E0
6.914557840E-1,1.578294039E0,-3.313220143E-1,1.047008038E0,1.922761603E0
6.963957700E-1,1.708264947E0,-3.715049922E-1,4.175469875E-1,1.797367679E0
7.013357700E-1,1.895342946E0,-3.701109886E-1,-2.522369921E-1,1.947544743E0
7.062755400E-1,2.097433090E0,-3.136630058E-1,-8.126869798E-1,2.271138520E0
7.112155400E-1,2.148741007E0,-3.786619902E-1,-1.237089992E0,2.508159577E0
7.161555400E-1,2.238627911E0,-5.105320215E-1,-1.552973032E0,2.771970978E0
7.210954480E-1,2.337394953E0,-5.857409835E-1,-1.869990945E0,3.050143242E0
7.260354480E-1,2.390264034E0,-7.002559900E-1,-2.065560102E0,3.235777981E0
7.309752170E-1,2.396284103E0,-7.312489748E-1,-2.044625044E0,3.233789439E0
7.359152410E-1,2.383218050E0,-7.062929869E-1,-1.970512033E0,3.171986086E0
7.408552410E-1,2.365118980E0,-6.251980066E-1,-1.775105953E0,3.022525680E0
7.457951640E-1,2.357669115E0,-5.293750167E-1,-1.553249002E0,2.872529204E0
7.507352410E-1,2.485627890E0,-4.731650054E-1,-1.427127957E0,2.904982846E0
7.556751640E-1,2.668884993E0,-4.020119905E-1,-1.369202018E0,3.026429399E0
7.606151790E-1,2.813311100E0,-3.835990131E-1,-1.379317999E0,3.156641521E0
7.655549480E-1,2.905810118E0,-4.047389925E-1,-1.484516025E0,3.288059294E0
7.704949520E-1,2.959947109E0,-5.195699930E-1,-1.644014955E0,3.425496320E0
7.754349520E-1,3.002671957E0,-6.872259974E-1,-1.830625057E0,3.583225719E0
7.803748760E-1,3.019120932E0,-8.937879801E-1,-2.003801107E0,3.732179930E0
7.853148860E-1,2.926727057E0,-1.057450056E0,-2.204596043E0,3.813682682E0
7.902546550E-1,2.819859028E0,-1.232445002E0,-2.365165949E0,3.881305912E0
